aX,aY,aZ,gX,gY,gZ
0.162,-0.399,-0.917,-35.828,-18.799,2.441
0.169,-0.403,-0.916,-36.560,-18.738,4.517
0.177,-0.407,-0.924,-37.048,-19.165,5.310
0.187,-0.415,-0.933,-37.659,-20.569,4.822
0.201,-0.424,-0.935,-38.940,-22.400,2.808
0.207,-0.431,-0.930,-40.527,-24.475,-0.366
0.211,-0.432,-0.929,-42.419,-26.123,-3.540
0.207,-0.430,-0.928,-44.617,-27.039,-5.676
0.201,-0.420,-0.926,-47.119,-28.503,-7.263
0.187,-0.407,-0.915,-49.500,-29.663,-8.301

-0.492,1.228,-2.009,144.226,89.600,139.404
-0.514,1.445,-2.456,117.981,72.754,135.193
-0.412,1.352,-2.606,74.829,50.354,116.638
-0.235,0.920,-2.319,25.757,21.790,83.130
-0.097,0.390,-1.648,-14.343,-7.507,40.527
0.019,-0.198,-0.968,-28.809,-31.860,-0.305
0.085,-0.667,-0.486,-16.602,-47.913,-29.541
0.126,-0.956,-0.280,8.911,-52.429,-39.490
0.157,-1.041,-0.295,34.546,-44.617,-28.442
0.176,-0.901,-0.444,51.208,-30.212,-3.784
0.173,-0.588,-0.657,59.998,-14.404,25.391
0.193,-0.200,-0.931,64.026,-1.892,51.025
0.254,0.194,-1.229,61.829,5.554,65.613
0.301,0.446,-1.452,53.528,6.104,61.707
0.317,0.525,-1.495,40.649,-0.427,43.030
0.286,0.448,-1.380,26.978,-9.216,19.470
0.247,0.267,-1.182,15.320,-14.954,1.160
0.227,0.036,-1.014,8.545,-15.137,-6.958
0.244,-0.188,-0.888,6.653,-12.024,-6.592
0.255,-0.343,-0.818,7.874,-7.080,-2.502
0.245,-0.391,-0.795,12.512,-1.648,2.136
0.211,-0.371,-0.861,20.447,2.441,6.470
0.170,-0.286,-0.976,26.917,5.127,9.705
0.106,-0.158,-1.074,27.344,6.958,11.658
0.058,-0.035,-1.154,23.926,6.958,13.062
0.038,0.055,-1.210,18.127,5.920,13.733
0.038,0.095,-1.224,10.315,3.296,13.367
0.058,0.093,-1.191,2.991,-0.732,11.047
0.115,0.032,-1.130,-3.052,-4.395,8.789
0.167,-0.037,-1.023,-7.996,-6.653,6.409
0.204,-0.101,-0.945,-10.193,-7.141,4.944
0.244,-0.147,-0.913,-8.240,-6.897,3.601
0.261,-0.185,-0.880,-6.226,-6.104,1.709
